ticker,last_price,forecast_day1,forecast_day2,forecast_day3,forecast_day4,forecast_day5,forecast_day6,forecast_day7,expected_change_pct
AAPL,247.99000549316406,249.7716827392578,251.8779754638672,250.54713439941406,249.34864807128906,247.98805236816406,247.84036254882812,246.85572814941406,-0.4573883296201091
MSFT,381.8699951171875,397.5078125,395.6902770996094,394.799560546875,393.65240478515625,392.3576354980469,395.5987854003906,392.46612548828125,2.7748004573760845
GOOGL,301.0,311.75860595703125,311.5418701171875,309.7762451171875,309.8946228027344,309.71240234375,306.6577453613281,306.6524963378906,1.8779057600965532
AMZN,205.3699951171875,208.0718231201172,206.6752166748047,206.35601806640625,206.22335815429688,205.63087463378906,207.44956970214844,204.3217010498047,-0.5104416868611399
META,593.6599731445312,617.3999633789062,623.936279296875,619.0313110351562,630.8121948242188,622.1513061523438,623.1558227539062,621.7273559570312,4.7278550150233505
NVDA,172.6999969482422,177.08544921875,175.56455993652344,176.95547485351562,178.09750366210938,172.40664672851562,176.5087432861328,170.59521484375,-1.2187505163204988
TSLA,367.9599914550781,380.4836730957031,381.8101806640625,376.1331481933594,379.22711181640625,375.2618103027344,372.7682189941406,372.2018737792969,1.152810746473945
AMD,201.3300018310547,199.9510498046875,198.90159606933594,199.71739196777344,197.5596466064453,200.17613220214844,196.0120391845703,195.807373046875,-2.7430729319786034
NFLX,91.81999969482422,92.6482162475586,94.22657012939453,91.0758056640625,90.56719970703125,92.00853729248047,91.73088073730469,91.25697326660156,-0.6131849598060861
JPM,286.55999755859375,288.7153625488281,286.5594482421875,288.4546203613281,287.3706359863281,287.6549377441406,288.2336120605469,290.60894775390625,1.4129502476997333
